,origin,period,destin,trade_value_usd,period_date
591,France,201512,Austria,31445,2015-12-01
592,Germany,201512,Austria,507107,2015-12-01
593,Greece,201512,Austria,200376,2015-12-01
594,Hungary,201512,Austria,979,2015-12-01
595,Israel,201512,Austria,13836,2015-12-01
596,Italy,201512,Austria,635685,2015-12-01
597,Netherlands,201512,Austria,120822,2015-12-01
598,Slovenia,201512,Austria,7483,2015-12-01
599,Spain,201512,Austria,1338839,2015-12-01
600,Turkey,201512,Austria,468864,2015-12-01
615,Belgium,201601,Austria,2476,2016-01-01
616,Cyprus,201601,Austria,5908,2016-01-01
617,Czechia,201601,Austria,11,2016-01-01
618,Denmark,201601,Austria,489,2016-01-01
619,France,201601,Austria,28638,2016-01-01
620,Germany,201601,Austria,596333,2016-01-01
621,Greece,201601,Austria,203484,2016-01-01
622,Hungary,201601,Austria,1434,2016-01-01
623,Israel,201601,Austria,14531,2016-01-01
624,Italy,201601,Austria,594715,2016-01-01
625,Netherlands,201601,Austria,240831,2016-01-01
626,Slovakia,201601,Austria,11,2016-01-01
627,Slovenia,201601,Austria,16409,2016-01-01
628,Spain,201601,Austria,1604869,2016-01-01
629,Turkey,201601,Austria,571529,2016-01-01
644,Belgium,201602,Austria,1065,2016-02-01
645,Cyprus,201602,Austria,18636,2016-02-01
646,Czechia,201602,Austria,122,2016-02-01
647,France,201602,Austria,30683,2016-02-01
648,Germany,201602,Austria,844743,2016-02-01
649,Greece,201602,Austria,77351,2016-02-01
650,Israel,201602,Austria,1542,2016-02-01
651,Italy,201602,Austria,808680,2016-02-01
652,Netherlands,201602,Austria,528537,2016-02-01
653,Slovakia,201602,Austria,22,2016-02-01
654,Slovenia,201602,Austria,5280,2016-02-01
655,Spain,201602,Austria,1754547,2016-02-01
656,Turkey,201602,Austria,544167,2016-02-01
672,Belgium,201603,Austria,15318,2016-03-01
673,Czechia,201603,Austria,155,2016-03-01
674,France,201603,Austria,27572,2016-03-01
675,Germany,201603,Austria,768542,2016-03-01
676,Greece,201603,Austria,159119,2016-03-01
677,Hungary,201603,Austria,1443,2016-03-01
678,Israel,201603,Austria,9091,2016-03-01
679,Italy,201603,Austria,639515,2016-03-01
680,Netherlands,201603,Austria,413397,2016-03-01
681,Slovakia,201603,Austria,11,2016-03-01
682,Spain,201603,Austria,1027272,2016-03-01
683,Turkey,201603,Austria,339560,2016-03-01
699,Belgium,201604,Austria,14639,2016-04-01
700,Cyprus,201604,Austria,10783,2016-04-01
701,Czechia,201604,Austria,8209,2016-04-01
702,France,201604,Austria,7722,2016-04-01
703,Germany,201604,Austria,457789,2016-04-01
704,Greece,201604,Austria,158315,2016-04-01
705,Hungary,201604,Austria,11,2016-04-01
706,Israel,201604,Austria,9083,2016-04-01
707,Italy,201604,Austria,22077,2016-04-01
708,Netherlands,201604,Austria,477100,2016-04-01
709,Slovenia,201604,Austria,1270,2016-04-01
710,Spain,201604,Austria,980347,2016-04-01
711,Turkey,201604,Austria,264981,2016-04-01
726,Albania,201605,Austria,1731,2016-05-01
727,Belgium,201605,Austria,49915,2016-05-01
728,Cyprus,201605,Austria,961,2016-05-01
729,Czechia,201605,Austria,814,2016-05-01
730,France,201605,Austria,6255,2016-05-01
731,Germany,201605,Austria,354340,2016-05-01
732,Greece,201605,Austria,173884,2016-05-01
733,Hungary,201605,Austria,385,2016-05-01
734,Italy,201605,Austria,27576,2016-05-01
735,Netherlands,201605,Austria,283295,2016-05-01
736,Slovakia,201605,Austria,45,2016-05-01
737,Spain,201605,Austria,176022,2016-05-01
738,Turkey,201605,Austria,243288,2016-05-01
739,TFYR of Macedonia,201605,Austria,126152,2016-05-01
755,Belgium,201606,Austria,27747,2016-06-01
756,Cyprus,201606,Austria,797,2016-06-01
757,France,201606,Austria,303,2016-06-01
758,Germany,201606,Austria,228443,2016-06-01
759,Greece,201606,Austria,23603,2016-06-01
760,Hungary,201606,Austria,943,2016-06-01
761,Italy,201606,Austria,31565,2016-06-01
762,Netherlands,201606,Austria,189826,2016-06-01
763,Poland,201606,Austria,4391,2016-06-01
764,Serbia,201606,Austria,327864,2016-06-01
765,Slovakia,201606,Austria,11,2016-06-01
766,Slovenia,201606,Austria,800381,2016-06-01
767,Spain,201606,Austria,80343,2016-06-01
768,Turkey,201606,Austria,162764,2016-06-01
769,TFYR of Macedonia,201606,Austria,465465,2016-06-01
784,Belgium,201607,Austria,24462,2016-07-01
785,Bosnia Herzegovina,201607,Austria,113369,2016-07-01
786,Cyprus,201607,Austria,2147,2016-07-01
787,France,201607,Austria,177,2016-07-01
788,Germany,201607,Austria,665081,2016-07-01
789,Hungary,201607,Austria,421,2016-07-01
790,Italy,201607,Austria,43723,2016-07-01
791,Netherlands,201607,Austria,170507,2016-07-01
792,Poland,201607,Austria,10405,2016-07-01
793,Serbia,201607,Austria,562604,2016-07-01
794,Slovakia,201607,Austria,277,2016-07-01
795,Slovenia,201607,Austria,736952,2016-07-01
796,Spain,201607,Austria,70078,2016-07-01
797,Turkey,201607,Austria,103462,2016-07-01
798,TFYR of Macedonia,201607,Austria,524383,2016-07-01
813,Belgium,201608,Austria,43144,2016-08-01
814,Bosnia Herzegovina,201608,Austria,89629,2016-08-01
815,Czechia,201608,Austria,78,2016-08-01
816,France,201608,Austria,202,2016-08-01
817,Germany,201608,Austria,424800,2016-08-01
818,Hungary,201608,Austria,336,2016-08-01
819,Italy,201608,Austria,12860,2016-08-01
820,Netherlands,201608,Austria,60803,2016-08-01
821,Poland,201608,Austria,8375,2016-08-01
822,Serbia,201608,Austria,257966,2016-08-01
823,Slovenia,201608,Austria,1154959,2016-08-01
824,Spain,201608,Austria,55589,2016-08-01
825,Turkey,201608,Austria,94270,2016-08-01
826,TFYR of Macedonia,201608,Austria,296143,2016-08-01
841,Belgium,201609,Austria,28311,2016-09-01
842,Bosnia Herzegovina,201609,Austria,32691,2016-09-01
843,France,201609,Austria,7740,2016-09-01
844,Germany,201609,Austria,354489,2016-09-01
845,Greece,201609,Austria,33818,2016-09-01
846,Hungary,201609,Austria,1057,2016-09-01
847,Italy,201609,Austria,4381,2016-09-01
848,Netherlands,201609,Austria,162574,2016-09-01
849,Poland,201609,Austria,226,2016-09-01
850,Serbia,201609,Austria,43222,2016-09-01
851,Slovakia,201609,Austria,11,2016-09-01
852,Slovenia,201609,Austria,292936,2016-09-01
853,Spain,201609,Austria,158565,2016-09-01
854,Turkey,201609,Austria,97169,2016-09-01
855,TFYR of Macedonia,201609,Austria,623702,2016-09-01
871,Belgium,201610,Austria,20966,2016-10-01
872,Cyprus,201610,Austria,2888,2016-10-01
873,Czechia,201610,Austria,17,2016-10-01
874,France,201610,Austria,13371,2016-10-01
875,Germany,201610,Austria,630734,2016-10-01
876,Greece,201610,Austria,113689,2016-10-01
877,Hungary,201610,Austria,4843,2016-10-01
878,Italy,201610,Austria,423319,2016-10-01
879,Netherlands,201610,Austria,266444,2016-10-01
880,Poland,201610,Austria,614,2016-10-01
881,Slovakia,201610,Austria,35,2016-10-01
882,Spain,201610,Austria,908731,2016-10-01
883,Turkey,201610,Austria,245735,2016-10-01
884,TFYR of Macedonia,201610,Austria,150080,2016-10-01
899,Albania,201611,Austria,5271,2016-11-01
900,Belgium,201611,Austria,9343,2016-11-01
901,Cyprus,201611,Austria,8032,2016-11-01
902,France,201611,Austria,25516,2016-11-01
903,Germany,201611,Austria,878707,2016-11-01
904,Greece,201611,Austria,187176,2016-11-01
905,Hungary,201611,Austria,914,2016-11-01
906,Italy,201611,Austria,566482,2016-11-01
907,Netherlands,201611,Austria,123635,2016-11-01
908,Spain,201611,Austria,1642922,2016-11-01
909,Turkey,201611,Austria,684705,2016-11-01
910,TFYR of Macedonia,201611,Austria,39453,2016-11-01
925,Albania,201612,Austria,2694,2016-12-01
926,Belgium,201612,Austria,4454,2016-12-01
927,Czechia,201612,Austria,97,2016-12-01
928,France,201612,Austria,20638,2016-12-01
929,Germany,201612,Austria,1188677,2016-12-01
930,Greece,201612,Austria,168459,2016-12-01
931,Hungary,201612,Austria,733,2016-12-01
932,Italy,201612,Austria,845880,2016-12-01
933,Netherlands,201612,Austria,358343,2016-12-01
934,Slovenia,201612,Austria,7346,2016-12-01
935,Spain,201612,Austria,1920241,2016-12-01
936,Turkey,201612,Austria,1027888,2016-12-01
1,Croatia,201403,Bosnia Herzegovina,154,2014-03-01
2,Italy,201403,Bosnia Herzegovina,24770,2014-03-01
3,Netherlands,201403,Bosnia Herzegovina,14,2014-03-01
4,Spain,201403,Bosnia Herzegovina,206591,2014-03-01
5,Turkey,201403,Bosnia Herzegovina,4029,2014-03-01
6,TFYR of Macedonia,201403,Bosnia Herzegovina,5279,2014-03-01
8,Germany,201608,Bosnia Herzegovina,15117,2016-08-01
9,Italy,201608,Bosnia Herzegovina,4447,2016-08-01
10,Serbia,201608,Bosnia Herzegovina,15354,2016-08-01
26,Albania,201405,Bosnia Herzegovina,1109,2014-05-01
27,Italy,201405,Bosnia Herzegovina,9324,2014-05-01
28,Netherlands,201405,Bosnia Herzegovina,13,2014-05-01
29,Spain,201405,Bosnia Herzegovina,1407,2014-05-01
30,TFYR of Macedonia,201405,Bosnia Herzegovina,42955,2014-05-01
32,Italy,201408,Bosnia Herzegovina,158,2014-08-01
33,Serbia,201408,Bosnia Herzegovina,43821,2014-08-01
40,Albania,201404,Bosnia Herzegovina,2063,2014-04-01
41,Croatia,201404,Bosnia Herzegovina,3062,2014-04-01
42,Italy,201404,Bosnia Herzegovina,48706,2014-04-01
43,Netherlands,201404,Bosnia Herzegovina,22,2014-04-01
44,Spain,201404,Bosnia Herzegovina,187735,2014-04-01
45,Turkey,201404,Bosnia Herzegovina,2991,2014-04-01
46,TFYR of Macedonia,201404,Bosnia Herzegovina,91262,2014-04-01
48,Albania,201604,Bosnia Herzegovina,114467,2016-04-01
49,Italy,201604,Bosnia Herzegovina,23405,2016-04-01
50,Spain,201604,Bosnia Herzegovina,135393,2016-04-01
51,Turkey,201604,Bosnia Herzegovina,26899,2016-04-01
52,TFYR of Macedonia,201604,Bosnia Herzegovina,84665,2016-04-01
54,Albania,201504,Bosnia Herzegovina,36654,2015-04-01
55,Italy,201504,Bosnia Herzegovina,96673,2015-04-01
56,Spain,201504,Bosnia Herzegovina,125105,2015-04-01
57,Turkey,201504,Bosnia Herzegovina,55002,2015-04-01
58,TFYR of Macedonia,201504,Bosnia Herzegovina,26783,2015-04-01
59,Croatia,201406,Bosnia Herzegovina,9,2014-06-01
60,Italy,201406,Bosnia Herzegovina,1064,2014-06-01
61,TFYR of Macedonia,201406,Bosnia Herzegovina,27816,2014-06-01
63,Netherlands,201406,Bosnia Herzegovina,6,2014-06-01
64,Serbia,201406,Bosnia Herzegovina,569,2014-06-01
68,Italy,201502,Bosnia Herzegovina,4487,2015-02-01
69,Spain,201502,Bosnia Herzegovina,49456,2015-02-01
70,Turkey,201502,Bosnia Herzegovina,7981,2015-02-01
72,Albania,201510,Bosnia Herzegovina,7684,2015-10-01
73,Croatia,201510,Bosnia Herzegovina,1079,2015-10-01
74,Italy,201510,Bosnia Herzegovina,2227,2015-10-01
75,Serbia,201510,Bosnia Herzegovina,4938,2015-10-01
76,Spain,201510,Bosnia Herzegovina,582,2015-10-01
77,TFYR of Macedonia,201510,Bosnia Herzegovina,3065,2015-10-01
87,Albania,201603,Bosnia Herzegovina,21117,2016-03-01
88,Italy,201603,Bosnia Herzegovina,17704,2016-03-01
89,Spain,201603,Bosnia Herzegovina,141341,2016-03-01
90,Turkey,201603,Bosnia Herzegovina,21553,2016-03-01
91,TFYR of Macedonia,201603,Bosnia Herzegovina,1555,2016-03-01
93,Albania,201610,Bosnia Herzegovina,27622,2016-10-01
94,Italy,201610,Bosnia Herzegovina,3311,2016-10-01
95,Serbia,201610,Bosnia Herzegovina,11931,2016-10-01
96,Turkey,201610,Bosnia Herzegovina,1313,2016-10-01
97,TFYR of Macedonia,201610,Bosnia Herzegovina,6874,2016-10-01
98,Spain,201610,Bosnia Herzegovina,886,2016-10-01
100,Albania,201409,Bosnia Herzegovina,158,2014-09-01
101,Italy,201409,Bosnia Herzegovina,1744,2014-09-01
102,Serbia,201409,Bosnia Herzegovina,20951,2014-09-01
103,TFYR of Macedonia,201409,Bosnia Herzegovina,53831,2014-09-01
108,Italy,201401,Bosnia Herzegovina,18994,2014-01-01
109,Spain,201401,Bosnia Herzegovina,32774,2014-01-01
110,Turkey,201401,Bosnia Herzegovina,11880,2014-01-01
112,Italy,201602,Bosnia Herzegovina,6828,2016-02-01
113,Spain,201602,Bosnia Herzegovina,49157,2016-02-01
114,Turkey,201602,Bosnia Herzegovina,36727,2016-02-01
116,Serbia,201507,Bosnia Herzegovina,57028,2015-07-01
117,TFYR of Macedonia,201507,Bosnia Herzegovina,340,2015-07-01
124,Serbia,201508,Bosnia Herzegovina,81903,2015-08-01
131,Italy,201402,Bosnia Herzegovina,13242,2014-02-01
132,Spain,201402,Bosnia Herzegovina,90765,2014-02-01
133,Turkey,201402,Bosnia Herzegovina,2595,2014-02-01
135,Serbia,201506,Bosnia Herzegovina,2079,2015-06-01
136,TFYR of Macedonia,201506,Bosnia Herzegovina,9674,2015-06-01
142,Albania,201605,Bosnia Herzegovina,39411,2016-05-01
143,Italy,201605,Bosnia Herzegovina,4461,2016-05-01
144,Spain,201605,Bosnia Herzegovina,10755,2016-05-01
145,Turkey,201605,Bosnia Herzegovina,2071,2016-05-01
146,TFYR of Macedonia,201605,Bosnia Herzegovina,52996,2016-05-01
148,Germany,201607,Bosnia Herzegovina,7454,2016-07-01
149,Italy,201607,Bosnia Herzegovina,1487,2016-07-01
150,Serbia,201607,Bosnia Herzegovina,121836,2016-07-01
161,TFYR of Macedonia,201606,Bosnia Herzegovina,4787,2016-06-01
168,Albania,201612,Bosnia Herzegovina,22617,2016-12-01
169,Italy,201612,Bosnia Herzegovina,5976,2016-12-01
170,Spain,201612,Bosnia Herzegovina,4927,2016-12-01
171,Turkey,201612,Bosnia Herzegovina,29239,2016-12-01
173,Albania,201410,Bosnia Herzegovina,1745,2014-10-01
174,Italy,201410,Bosnia Herzegovina,247,2014-10-01
175,Serbia,201410,Bosnia Herzegovina,16866,2014-10-01
176,Turkey,201410,Bosnia Herzegovina,1446,2014-10-01
177,TFYR of Macedonia,201410,Bosnia Herzegovina,80189,2014-10-01
179,Albania,201505,Bosnia Herzegovina,16653,2015-05-01
180,Italy,201505,Bosnia Herzegovina,15325,2015-05-01
181,Spain,201505,Bosnia Herzegovina,2268,2015-05-01
182,TFYR of Macedonia,201505,Bosnia Herzegovina,69308,2015-05-01
186,Italy,201407,Bosnia Herzegovina,3323,2014-07-01
187,Netherlands,201407,Bosnia Herzegovina,8,2014-07-01
188,Serbia,201407,Bosnia Herzegovina,39344,2014-07-01
189,Spain,201407,Bosnia Herzegovina,38,2014-07-01
190,TFYR of Macedonia,201407,Bosnia Herzegovina,5239,2014-07-01
195,Albania,201501,Bosnia Herzegovina,261,2015-01-01
196,Italy,201501,Bosnia Herzegovina,4217,2015-01-01
197,Spain,201501,Bosnia Herzegovina,41509,2015-01-01
198,Turkey,201501,Bosnia Herzegovina,9932,2015-01-01
200,Albania,201611,Bosnia Herzegovina,37323,2016-11-01
201,Italy,201611,Bosnia Herzegovina,3100,2016-11-01
202,Spain,201611,Bosnia Herzegovina,1255,2016-11-01
203,Turkey,201611,Bosnia Herzegovina,13809,2016-11-01
205,Italy,201509,Bosnia Herzegovina,132,2015-09-01
206,Serbia,201509,Bosnia Herzegovina,14007,2015-09-01
207,TFYR of Macedonia,201509,Bosnia Herzegovina,11913,2015-09-01
214,Italy,201601,Bosnia Herzegovina,4639,2016-01-01
215,Spain,201601,Bosnia Herzegovina,23059,2016-01-01
216,Turkey,201601,Bosnia Herzegovina,14306,2016-01-01
218,Albania,201411,Bosnia Herzegovina,10621,2014-11-01
219,Italy,201411,Bosnia Herzegovina,5927,2014-11-01
220,Serbia,201411,Bosnia Herzegovina,459,2014-11-01
221,Spain,201411,Bosnia Herzegovina,3269,2014-11-01
222,Turkey,201411,Bosnia Herzegovina,13130,2014-11-01
223,TFYR of Macedonia,201411,Bosnia Herzegovina,6099,2014-11-01
225,Albania,201511,Bosnia Herzegovina,24906,2015-11-01
226,Italy,201511,Bosnia Herzegovina,1184,2015-11-01
227,Serbia,201511,Bosnia Herzegovina,1024,2015-11-01
228,Spain,201511,Bosnia Herzegovina,702,2015-11-01
229,Turkey,201511,Bosnia Herzegovina,2947,2015-11-01
231,Albania,201512,Bosnia Herzegovina,11355,2015-12-01
232,Italy,201512,Bosnia Herzegovina,5164,2015-12-01
233,Morocco,201512,Bosnia Herzegovina,106,2015-12-01
234,Spain,201512,Bosnia Herzegovina,21672,2015-12-01
235,Turkey,201512,Bosnia Herzegovina,26286,2015-12-01
237,Albania,201503,Bosnia Herzegovina,2896,2015-03-01
238,Italy,201503,Bosnia Herzegovina,26337,2015-03-01
239,Morocco,201503,Bosnia Herzegovina,1303,2015-03-01
240,Spain,201503,Bosnia Herzegovina,65731,2015-03-01
241,Turkey,201503,Bosnia Herzegovina,41091,2015-03-01
243,Italy,201609,Bosnia Herzegovina,541,2016-09-01
244,Serbia,201609,Bosnia Herzegovina,8157,2016-09-01
245,TFYR of Macedonia,201609,Bosnia Herzegovina,4731,2016-09-01
257,Albania,201412,Bosnia Herzegovina,7765,2014-12-01
258,Italy,201412,Bosnia Herzegovina,22743,2014-12-01
259,Morocco,201412,Bosnia Herzegovina,198,2014-12-01
260,Spain,201412,Bosnia Herzegovina,9470,2014-12-01
261,Turkey,201412,Bosnia Herzegovina,21476,2014-12-01
1,Greece,201401,Albania,106972,2014-01-01
2,Turkey,201401,Albania,29084,2014-01-01
7,Greece,201402,Albania,76016,2014-02-01
8,Italy,201402,Albania,4565,2014-02-01
9,Turkey,201402,Albania,37739,2014-02-01
8,Bulgaria,201401,Czechia,87779,2014-01-01
9,France,201401,Czechia,2189,2014-01-01
10,Germany,201401,Czechia,706048,2014-01-01
11,Greece,201401,Czechia,863142,2014-01-01
12,Hungary,201401,Czechia,13053,2014-01-01
13,Italy,201401,Czechia,14330,2014-01-01
14,Netherlands,201401,Czechia,46310,2014-01-01
15,Poland,201401,Czechia,135337,2014-01-01
16,Slovakia,201401,Czechia,8234,2014-01-01
17,Spain,201401,Czechia,2185054,2014-01-01
26,Austria,201402,Czechia,142,2014-02-01
27,Bulgaria,201402,Czechia,217,2014-02-01
28,France,201402,Czechia,1946,2014-02-01
29,Germany,201402,Czechia,1765,2014-02-01
30,Greece,201402,Czechia,779251,2014-02-01
31,Hungary,201402,Czechia,7636,2014-02-01
32,Italy,201402,Czechia,12731,2014-02-01
33,Netherlands,201402,Czechia,20452,2014-02-01
34,Poland,201402,Czechia,371537,2014-02-01
35,Slovakia,201402,Czechia,3033,2014-02-01
36,Spain,201402,Czechia,2628352,2014-02-01
37,United Kingdom,201402,Czechia,1901,2014-02-01
46,Austria,201403,Czechia,144,2014-03-01
47,Belgium,201403,Czechia,11199,2014-03-01
48,Bulgaria,201403,Czechia,24825,2014-03-01
49,France,201403,Czechia,1835,2014-03-01
50,Germany,201403,Czechia,779718,2014-03-01
51,Greece,201403,Czechia,309877,2014-03-01
52,Israel,201403,Czechia,57,2014-03-01
53,Italy,201403,Czechia,53157,2014-03-01
54,Netherlands,201403,Czechia,502928,2014-03-01
55,Poland,201403,Czechia,421813,2014-03-01
56,Romania,201403,Czechia,44750,2014-03-01
57,Slovakia,201403,Czechia,3508,2014-03-01
58,Spain,201403,Czechia,2879160,2014-03-01
59,United Kingdom,201403,Czechia,2073,2014-03-01
68,Austria,201404,Czechia,123127,2014-04-01
69,Belgium,201404,Czechia,19204,2014-04-01
70,Bulgaria,201404,Czechia,172690,2014-04-01
71,Croatia,201404,Czechia,4587,2014-04-01
72,France,201404,Czechia,1221,2014-04-01
73,Germany,201404,Czechia,489434,2014-04-01
74,Greece,201404,Czechia,285882,2014-04-01
75,Israel,201404,Czechia,38,2014-04-01
76,Italy,201404,Czechia,4427,2014-04-01
77,Netherlands,201404,Czechia,1668327,2014-04-01
78,Poland,201404,Czechia,254461,2014-04-01
79,Romania,201404,Czechia,81333,2014-04-01
80,Slovakia,201404,Czechia,3438,2014-04-01
81,Spain,201404,Czechia,1706050,2014-04-01
82,Sweden,201404,Czechia,26317,2014-04-01
83,TFYR of Macedonia,201404,Czechia,4545,2014-04-01
84,United Kingdom,201404,Czechia,3207,2014-04-01
94,Austria,201405,Czechia,174847,2014-05-01
95,Belgium,201405,Czechia,18441,2014-05-01
96,Bulgaria,201405,Czechia,62850,2014-05-01
97,Croatia,201405,Czechia,7627,2014-05-01
98,France,201405,Czechia,1139,2014-05-01
99,Germany,201405,Czechia,464363,2014-05-01
100,Greece,201405,Czechia,126828,2014-05-01
101,Hungary,201405,Czechia,86492,2014-05-01
102,Italy,201405,Czechia,7925,2014-05-01
103,Netherlands,201405,Czechia,1311346,2014-05-01
104,Poland,201405,Czechia,331128,2014-05-01
105,Romania,201405,Czechia,1140215,2014-05-01
106,Slovakia,201405,Czechia,29961,2014-05-01
107,Spain,201405,Czechia,988312,2014-05-01
108,Sweden,201405,Czechia,54342,2014-05-01
109,Turkey,201405,Czechia,4364,2014-05-01
110,TFYR of Macedonia,201405,Czechia,214915,2014-05-01
111,United Kingdom,201405,Czechia,2761,2014-05-01
120,Austria,201406,Czechia,66670,2014-06-01
121,Belgium,201406,Czechia,10654,2014-06-01
122,Croatia,201406,Czechia,23145,2014-06-01
123,France,201406,Czechia,1189,2014-06-01
124,Germany,201406,Czechia,705572,2014-06-01
125,Greece,201406,Czechia,15566,2014-06-01
126,Hungary,201406,Czechia,338052,2014-06-01
127,Italy,201406,Czechia,1610,2014-06-01
128,Netherlands,201406,Czechia,843467,2014-06-01
129,Poland,201406,Czechia,155715,2014-06-01
130,Romania,201406,Czechia,1137933,2014-06-01
131,Slovakia,201406,Czechia,44465,2014-06-01
132,Spain,201406,Czechia,576083,2014-06-01
133,Sweden,201406,Czechia,91818,2014-06-01
134,TFYR of Macedonia,201406,Czechia,298242,2014-06-01
135,United Kingdom,201406,Czechia,1996,2014-06-01
144,Austria,201407,Czechia,61202,2014-07-01
145,Belgium,201407,Czechia,3250,2014-07-01
146,Bulgaria,201407,Czechia,406601,2014-07-01
147,France,201407,Czechia,259,2014-07-01
148,Germany,201407,Czechia,1511410,2014-07-01
149,Greece,201407,Czechia,2084,2014-07-01
150,Hungary,201407,Czechia,1349374,2014-07-01
151,Italy,201407,Czechia,129,2014-07-01
152,Netherlands,201407,Czechia,1176119,2014-07-01
153,Poland,201407,Czechia,294511,2014-07-01
154,Romania,201407,Czechia,661999,2014-07-01
155,Serbia,201407,Czechia,39064,2014-07-01
156,Slovakia,201407,Czechia,303051,2014-07-01
157,Spain,201407,Czechia,518232,2014-07-01
158,Sweden,201407,Czechia,73209,2014-07-01
159,Ukraine,201407,Czechia,60710,2014-07-01
160,TFYR of Macedonia,201407,Czechia,3007,2014-07-01
161,United Kingdom,201407,Czechia,1410,2014-07-01
171,Austria,201408,Czechia,115233,2014-08-01
172,Belgium,201408,Czechia,11334,2014-08-01
173,Bosnia Herzegovina,201408,Czechia,19067,2014-08-01
174,Bulgaria,201408,Czechia,439775,2014-08-01
175,Croatia,201408,Czechia,33483,2014-08-01
176,France,201408,Czechia,519,2014-08-01
177,Germany,201408,Czechia,1152498,2014-08-01
178,Greece,201408,Czechia,2064,2014-08-01
179,Hungary,201408,Czechia,286975,2014-08-01
180,Italy,201408,Czechia,117,2014-08-01
181,Netherlands,201408,Czechia,654162,2014-08-01
182,Poland,201408,Czechia,378439,2014-08-01
183,Romania,201408,Czechia,712581,2014-08-01
184,Serbia,201408,Czechia,25790,2014-08-01
185,Slovakia,201408,Czechia,132075,2014-08-01
186,Spain,201408,Czechia,115857,2014-08-01
187,Sweden,201408,Czechia,44629,2014-08-01
188,Ukraine,201408,Czechia,70380,2014-08-01
189,TFYR of Macedonia,201408,Czechia,2856,2014-08-01
190,United Kingdom,201408,Czechia,1372,2014-08-01
198,Austria,201409,Czechia,16595,2014-09-01
199,Belgium,201409,Czechia,7175,2014-09-01
200,Bulgaria,201409,Czechia,464848,2014-09-01
201,Croatia,201409,Czechia,9579,2014-09-01
202,France,201409,Czechia,1163,2014-09-01
203,Germany,201409,Czechia,844697,2014-09-01
204,Greece,201409,Czechia,1492,2014-09-01
205,Italy,201409,Czechia,11992,2014-09-01
206,Netherlands,201409,Czechia,381510,2014-09-01
207,Poland,201409,Czechia,165364,2014-09-01
208,Romania,201409,Czechia,678275,2014-09-01
209,Serbia,201409,Czechia,1449,2014-09-01
210,Slovakia,201409,Czechia,20717,2014-09-01
211,Spain,201409,Czechia,296670,2014-09-01
212,Sweden,201409,Czechia,110925,2014-09-01
213,TFYR of Macedonia,201409,Czechia,129005,2014-09-01
214,United Kingdom,201409,Czechia,1437,2014-09-01
222,Albania,201410,Czechia,70889,2014-10-01
223,Belgium,201410,Czechia,4969,2014-10-01
224,Bulgaria,201410,Czechia,441260,2014-10-01
225,Croatia,201410,Czechia,28026,2014-10-01
226,France,201410,Czechia,2476,2014-10-01
227,Germany,201410,Czechia,474283,2014-10-01
228,Greece,201410,Czechia,94512,2014-10-01
229,Hungary,201410,Czechia,20022,2014-10-01
230,Italy,201410,Czechia,85,2014-10-01
231,Netherlands,201410,Czechia,323798,2014-10-01
232,Poland,201410,Czechia,165383,2014-10-01
233,Romania,201410,Czechia,525159,2014-10-01
234,Slovakia,201410,Czechia,2481,2014-10-01
235,Spain,201410,Czechia,1329158,2014-10-01
236,Sweden,201410,Czechia,12398,2014-10-01
237,TFYR of Macedonia,201410,Czechia,55151,2014-10-01
238,United Kingdom,201410,Czechia,1901,2014-10-01
246,Albania,201411,Czechia,11044,2014-11-01
247,Belgium,201411,Czechia,2155,2014-11-01
248,Croatia,201411,Czechia,11691,2014-11-01
249,France,201411,Czechia,758,2014-11-01
250,Germany,201411,Czechia,485711,2014-11-01
251,Greece,201411,Czechia,90348,2014-11-01
252,Italy,201411,Czechia,3978,2014-11-01
253,Netherlands,201411,Czechia,247247,2014-11-01
254,Poland,201411,Czechia,113339,2014-11-01
255,Romania,201411,Czechia,39600,2014-11-01
256,Slovakia,201411,Czechia,2808,2014-11-01
257,Spain,201411,Czechia,1858782,2014-11-01
258,TFYR of Macedonia,201411,Czechia,12908,2014-11-01
259,United Kingdom,201411,Czechia,2154,2014-11-01
267,Austria,201412,Czechia,26,2014-12-01
268,France,201412,Czechia,353,2014-12-01
269,Germany,201412,Czechia,484793,2014-12-01
270,Greece,201412,Czechia,845063,2014-12-01
271,Italy,201412,Czechia,4054,2014-12-01
272,Netherlands,201412,Czechia,22851,2014-12-01
273,Poland,201412,Czechia,150976,2014-12-01
274,Slovakia,201412,Czechia,2760,2014-12-01
275,Spain,201412,Czechia,2067518,2014-12-01
276,United Kingdom,201412,Czechia,1469,2014-12-01
285,Austria,201501,Czechia,24,2015-01-01
286,Cuba,201501,Czechia,4320,2015-01-01
287,France,201501,Czechia,1229,2015-01-01
288,Germany,201501,Czechia,552658,2015-01-01
289,Greece,201501,Czechia,664913,2015-01-01
290,Hungary,201501,Czechia,75,2015-01-01
291,Italy,201501,Czechia,3143,2015-01-01
292,Morocco,201501,Czechia,2948,2015-01-01
293,Netherlands,201501,Czechia,118017,2015-01-01
294,Poland,201501,Czechia,120140,2015-01-01
295,Slovakia,201501,Czechia,2655,2015-01-01
296,Spain,201501,Czechia,1654702,2015-01-01
297,United Kingdom,201501,Czechia,1725,2015-01-01
304,Bulgaria,201502,Czechia,176689,2015-02-01
305,Germany,201502,Czechia,615406,2015-02-01
306,Greece,201502,Czechia,432523,2015-02-01
307,Hungary,201502,Czechia,394,2015-02-01
