,partner,period,trade_value_usd,reporter
57,Netherlands,201410,80,Austria
58,Poland,201410,1237,Austria
61,World,201411,233107,Austria
62,France,201411,7060,Austria
63,Ireland,201411,1541,Austria
64,Italy,201411,209724,Austria
65,Lithuania,201411,3304,Austria
66,Netherlands,201411,9947,Austria
67,Poland,201411,1532,Austria
68,World,201412,9586,Austria
69,France,201412,4786,Austria
70,Ireland,201412,997,Austria
71,Netherlands,201412,1671,Austria
72,Poland,201412,2133,Austria
76,World,201501,7889,Austria
77,France,201501,275,Austria
78,Ireland,201501,1237,Austria
79,Italy,201501,1521,Austria
80,Lithuania,201501,2561,Austria
81,Netherlands,201501,1860,Austria
82,Poland,201501,434,Austria
83,World,201502,2484,Austria
84,France,201502,254,Austria
85,Ireland,201502,529,Austria
86,Lithuania,201502,1018,Austria
87,Poland,201502,684,Austria
90,World,201503,5070,Austria
91,France,201503,162,Austria
92,Ireland,201503,852,Austria
93,Italy,201503,1648,Austria
94,Lithuania,201503,1553,Austria
95,Poland,201503,855,Austria
96,World,201504,5216,Austria
97,France,201504,136,Austria
98,Ireland,201504,2695,Austria
99,Lithuania,201504,1445,Austria
100,Poland,201504,940,Austria
103,World,201505,4827,Austria
104,France,201505,71,Austria
105,Ireland,201505,978,Austria
106,Lithuania,201505,3777,Austria
109,World,201506,5950,Austria
110,France,201506,84,Austria
111,Ireland,201506,722,Austria
112,Lithuania,201506,5144,Austria
115,World,201507,4911,Austria
116,France,201507,1339,Austria
117,Ireland,201507,1308,Austria
118,Lithuania,201507,2035,Austria
119,Poland,201507,229,Austria
122,World,201508,4343,Austria
123,France,201508,1851,Austria
124,Ireland,201508,1498,Austria
125,Lithuania,201508,874,Austria
126,Poland,201508,120,Austria
129,World,201509,245795,Austria
130,France,201509,462,Austria
131,Ireland,201509,461,Austria
132,Italy,201509,179349,Austria
133,Lithuania,201509,4555,Austria
134,Netherlands,201509,54628,Austria
135,Poland,201509,453,Austria
136,Turkey,201509,5888,Austria
139,World,201510,224837,Austria
140,France,201510,5666,Austria
141,Ireland,201510,1198,Austria
142,Italy,201510,217191,Austria
143,Poland,201510,782,Austria
146,World,201511,464713,Austria
147,France,201511,2413,Austria
148,Ireland,201511,774,Austria
149,Italy,201511,456217,Austria
150,Lithuania,201511,3243,Austria
151,Netherlands,201511,291,Austria
152,Poland,201511,1775,Austria
155,World,201512,26496,Austria
156,France,201512,3935,Austria
157,Germany,201512,15990,Austria
158,Ireland,201512,2634,Austria
159,Lithuania,201512,1625,Austria
160,Netherlands,201512,1121,Austria
161,Poland,201512,1192,Austria
162,World,201601,13681,Austria
163,France,201601,236,Austria
164,Ireland,201601,426,Austria
165,Lithuania,201601,1947,Austria
166,Poland,201601,128,Austria
167,Turkey,201601,10943,Austria
170,World,201602,5122,Austria
171,France,201602,267,Austria
172,Ireland,201602,479,Austria
173,Italy,201602,842,Austria
174,Lithuania,201602,2938,Austria
175,Poland,201602,596,Austria
176,World,201603,6607,Austria
177,France,201603,817,Austria
178,Ireland,201603,2423,Austria
179,Italy,201603,1842,Austria
180,Lithuania,201603,1162,Austria
181,Poland,201603,363,Austria
184,World,201604,4302,Austria
185,France,201604,66,Austria
186,Ireland,201604,1796,Austria
187,Lithuania,201604,1982,Austria
188,Poland,201604,458,Austria
191,World,201605,3635,Austria
192,France,201605,64,Austria
193,Italy,201605,1945,Austria
194,Lithuania,201605,1627,Austria
197,World,201606,20836,Austria
198,Hungary,201606,6997,Austria
199,Ireland,201606,2520,Austria
200,Italy,201606,4573,Austria
201,Lithuania,201606,2940,Austria
202,Poland,201606,3807,Austria
203,World,201607,13774,Austria
204,France,201607,401,Austria
205,Hungary,201607,8332,Austria
206,Ireland,201607,1014,Austria
207,Italy,201607,1937,Austria
208,Lithuania,201607,1774,Austria
209,Poland,201607,316,Austria
210,World,201608,17788,Austria
211,France,201608,1161,Austria
212,Hungary,201608,6820,Austria
213,Ireland,201608,976,Austria
214,Italy,201608,348,Austria
215,Netherlands,201608,7995,Austria
216,Poland,201608,488,Austria
219,World,201609,230628,Austria
220,France,201609,121,Austria
221,Ireland,201609,1133,Austria
222,Italy,201609,228270,Austria
223,Lithuania,201609,1076,Austria
224,Poland,201609,28,Austria
228,World,201610,83506,Austria
229,Hungary,201610,2749,Austria
230,Ireland,201610,516,Austria
231,Italy,201610,77012,Austria
232,Lithuania,201610,2496,Austria
233,Poland,201610,733,Austria
234,World,201611,157482,Austria
235,France,201611,9528,Austria
236,Hungary,201611,758,Austria
237,Italy,201611,143292,Austria
238,Lithuania,201611,1897,Austria
239,Netherlands,201611,720,Austria
240,Poland,201611,1287,Austria
241,World,201612,29754,Austria
242,France,201612,9058,Austria
243,Hungary,201612,1081,Austria
244,Italy,201612,16278,Austria
245,Lithuania,201612,1818,Austria
246,Netherlands,201612,851,Austria
247,Poland,201612,668,Austria
0,World,201401,5624,Denmark
1,France,201401,84,Denmark
2,Ireland,201401,987,Denmark
3,Italy,201401,1308,Denmark
4,Lithuania,201401,2773,Denmark
5,Poland,201401,473,Denmark
6,World,201402,9564,Denmark
7,Ireland,201402,1636,Denmark
8,Italy,201402,2966,Denmark
9,Lithuania,201402,3450,Denmark
10,Poland,201402,1512,Denmark
11,World,201403,4987,Denmark
12,Lithuania,201403,4187,Denmark
13,Poland,201403,800,Denmark
14,World,201404,10823,Denmark
15,France,201404,90,Denmark
16,Ireland,201404,370,Denmark
17,Italy,201404,1898,Denmark
18,Lithuania,201404,3862,Denmark
19,Turkey,201404,4603,Denmark
20,World,201405,5773,Denmark
21,Ireland,201405,817,Denmark
22,Lithuania,201405,3785,Denmark
23,Poland,201405,1171,Denmark
24,World,201406,4449,Denmark
25,France,201406,90,Denmark
26,Ireland,201406,810,Denmark
27,Italy,201406,1993,Denmark
28,Poland,201406,1557,Denmark
29,World,201407,4758,Denmark
30,France,201407,1262,Denmark
31,Ireland,201407,399,Denmark
32,Lithuania,201407,2385,Denmark
33,Poland,201407,712,Denmark
34,World,201408,37410,Denmark
35,France,201408,1861,Denmark
36,Ireland,201408,1191,Denmark
37,Italy,201408,1336,Denmark
38,Lithuania,201408,3275,Denmark
39,Netherlands,201408,29014,Denmark
40,Poland,201408,733,Denmark
44,World,201409,182326,Denmark
45,France,201409,231,Denmark
46,Ireland,201409,986,Denmark
47,Italy,201409,147778,Denmark
48,Lithuania,201409,2493,Denmark
49,Netherlands,201409,29172,Denmark
50,Poland,201409,1665,Denmark
53,World,201410,197811,Denmark
54,France,201410,374,Denmark
55,Italy,201410,193005,Denmark
56,Lithuania,201410,3114,Denmark
57,Netherlands,201410,80,Denmark
58,Poland,201410,1237,Denmark
61,World,201411,233107,Denmark
62,France,201411,7060,Denmark
63,Ireland,201411,1541,Denmark
64,Italy,201411,209724,Denmark
65,Lithuania,201411,3304,Denmark
66,Netherlands,201411,9947,Denmark
67,Poland,201411,1532,Denmark
68,World,201412,9586,Denmark
69,France,201412,4786,Denmark
70,Ireland,201412,997,Denmark
71,Netherlands,201412,1671,Denmark
72,Poland,201412,2133,Denmark
76,World,201501,7889,Denmark
77,France,201501,275,Denmark
78,Ireland,201501,1237,Denmark
79,Italy,201501,1521,Denmark
80,Lithuania,201501,2561,Denmark
81,Netherlands,201501,1860,Denmark
82,Poland,201501,434,Denmark
83,World,201502,2484,Denmark
84,France,201502,254,Denmark
85,Ireland,201502,529,Denmark
86,Lithuania,201502,1018,Denmark
87,Poland,201502,684,Denmark
90,World,201503,5070,Denmark
91,France,201503,162,Denmark
92,Ireland,201503,852,Denmark
93,Italy,201503,1648,Denmark
94,Lithuania,201503,1553,Denmark
95,Poland,201503,855,Denmark
96,World,201504,5216,Denmark
97,France,201504,136,Denmark
98,Ireland,201504,2695,Denmark
99,Lithuania,201504,1445,Denmark
100,Poland,201504,940,Denmark
103,World,201505,4827,Denmark
104,France,201505,71,Denmark
105,Ireland,201505,978,Denmark
106,Lithuania,201505,3777,Denmark
109,World,201506,5950,Denmark
110,France,201506,84,Denmark
111,Ireland,201506,722,Denmark
112,Lithuania,201506,5144,Denmark
115,World,201507,4911,Denmark
116,France,201507,1339,Denmark
117,Ireland,201507,1308,Denmark
118,Lithuania,201507,2035,Denmark
119,Poland,201507,229,Denmark
122,World,201508,4343,Denmark
123,France,201508,1851,Denmark
124,Ireland,201508,1498,Denmark
125,Lithuania,201508,874,Denmark
126,Poland,201508,120,Denmark
129,World,201509,245795,Denmark
130,France,201509,462,Denmark
131,Ireland,201509,461,Denmark
132,Italy,201509,179349,Denmark
133,Lithuania,201509,4555,Denmark
134,Netherlands,201509,54628,Denmark
135,Poland,201509,453,Denmark
136,Turkey,201509,5888,Denmark
139,World,201510,224837,Denmark
140,France,201510,5666,Denmark
141,Ireland,201510,1198,Denmark
142,Italy,201510,217191,Denmark
143,Poland,201510,782,Denmark
146,World,201511,464713,Denmark
147,France,201511,2413,Denmark
148,Ireland,201511,774,Denmark
149,Italy,201511,456217,Denmark
150,Lithuania,201511,3243,Denmark
151,Netherlands,201511,291,Denmark
152,Poland,201511,1775,Denmark
155,World,201512,26496,Denmark
156,France,201512,3935,Denmark
157,Germany,201512,15990,Denmark
158,Ireland,201512,2634,Denmark
159,Lithuania,201512,1625,Denmark
160,Netherlands,201512,1121,Denmark
161,Poland,201512,1192,Denmark
162,World,201601,13681,Denmark
163,France,201601,236,Denmark
164,Ireland,201601,426,Denmark
165,Lithuania,201601,1947,Denmark
166,Poland,201601,128,Denmark
167,Turkey,201601,10943,Denmark
170,World,201602,5122,Denmark
171,France,201602,267,Denmark
172,Ireland,201602,479,Denmark
173,Italy,201602,842,Denmark
174,Lithuania,201602,2938,Denmark
175,Poland,201602,596,Denmark
176,World,201603,6607,Denmark
177,France,201603,817,Denmark
178,Ireland,201603,2423,Denmark
179,Italy,201603,1842,Denmark
180,Lithuania,201603,1162,Denmark
181,Poland,201603,363,Denmark
184,World,201604,4302,Denmark
185,France,201604,66,Denmark
186,Ireland,201604,1796,Denmark
187,Lithuania,201604,1982,Denmark
188,Poland,201604,458,Denmark
191,World,201605,3635,Denmark
192,France,201605,64,Denmark
193,Italy,201605,1945,Denmark
194,Lithuania,201605,1627,Denmark
197,World,201606,20836,Denmark
198,Hungary,201606,6997,Denmark
199,Ireland,201606,2520,Denmark
200,Italy,201606,4573,Denmark
201,Lithuania,201606,2940,Denmark
202,Poland,201606,3807,Denmark
203,World,201607,13774,Denmark
204,France,201607,401,Denmark
205,Hungary,201607,8332,Denmark
206,Ireland,201607,1014,Denmark
207,Italy,201607,1937,Denmark
208,Lithuania,201607,1774,Denmark
209,Poland,201607,316,Denmark
210,World,201608,17788,Denmark
211,France,201608,1161,Denmark
212,Hungary,201608,6820,Denmark
213,Ireland,201608,976,Denmark
214,Italy,201608,348,Denmark
215,Netherlands,201608,7995,Denmark
216,Poland,201608,488,Denmark
219,World,201609,230628,Denmark
220,France,201609,121,Denmark
221,Ireland,201609,1133,Denmark
222,Italy,201609,228270,Denmark
223,Lithuania,201609,1076,Denmark
224,Poland,201609,28,Denmark
228,World,201610,83506,Denmark
229,Hungary,201610,2749,Denmark
230,Ireland,201610,516,Denmark
231,Italy,201610,77012,Denmark
232,Lithuania,201610,2496,Denmark
233,Poland,201610,733,Denmark
234,World,201611,157482,Denmark
235,France,201611,9528,Denmark
236,Hungary,201611,758,Denmark
237,Italy,201611,143292,Denmark
238,Lithuania,201611,1897,Denmark
239,Netherlands,201611,720,Denmark
240,Poland,201611,1287,Denmark
241,World,201612,29754,Denmark
242,France,201612,9058,Denmark
243,Hungary,201612,1081,Denmark
244,Italy,201612,16278,Denmark
245,Lithuania,201612,1818,Denmark
246,Netherlands,201612,851,Denmark
247,Poland,201612,668,Denmark
0,World,201401,5624,Estonia
1,France,201401,84,Estonia
2,Ireland,201401,987,Estonia
3,Italy,201401,1308,Estonia
4,Lithuania,201401,2773,Estonia
5,Poland,201401,473,Estonia
6,World,201402,9564,Estonia
7,Ireland,201402,1636,Estonia
8,Italy,201402,2966,Estonia
9,Lithuania,201402,3450,Estonia
10,Poland,201402,1512,Estonia
11,World,201403,4987,Estonia
12,Lithuania,201403,4187,Estonia
13,Poland,201403,800,Estonia
14,World,201404,10823,Estonia
15,France,201404,90,Estonia
16,Ireland,201404,370,Estonia
17,Italy,201404,1898,Estonia
18,Lithuania,201404,3862,Estonia
19,Turkey,201404,4603,Estonia
20,World,201405,5773,Estonia
21,Ireland,201405,817,Estonia
22,Lithuania,201405,3785,Estonia
23,Poland,201405,1171,Estonia
24,World,201406,4449,Estonia
25,France,201406,90,Estonia
26,Ireland,201406,810,Estonia
27,Italy,201406,1993,Estonia
28,Poland,201406,1557,Estonia
29,World,201407,4758,Estonia
30,France,201407,1262,Estonia
31,Ireland,201407,399,Estonia
32,Lithuania,201407,2385,Estonia
33,Poland,201407,712,Estonia
34,World,201408,37410,Estonia
35,France,201408,1861,Estonia
36,Ireland,201408,1191,Estonia
37,Italy,201408,1336,Estonia
38,Lithuania,201408,3275,Estonia
39,Netherlands,201408,29014,Estonia
40,Poland,201408,733,Estonia
44,World,201409,182326,Estonia
45,France,201409,231,Estonia
46,Ireland,201409,986,Estonia
47,Italy,201409,147778,Estonia
48,Lithuania,201409,2493,Estonia
49,Netherlands,201409,29172,Estonia
50,Poland,201409,1665,Estonia
53,World,201410,197811,Estonia
54,France,201410,374,Estonia
55,Italy,201410,193005,Estonia
56,Lithuania,201410,3114,Estonia
57,Netherlands,201410,80,Estonia
58,Poland,201410,1237,Estonia
61,World,201411,233107,Estonia
62,France,201411,7060,Estonia
63,Ireland,201411,1541,Estonia
64,Italy,201411,209724,Estonia
65,Lithuania,201411,3304,Estonia
66,Netherlands,201411,9947,Estonia
67,Poland,201411,1532,Estonia
68,World,201412,9586,Estonia
69,France,201412,4786,Estonia
70,Ireland,201412,997,Estonia
71,Netherlands,201412,1671,Estonia
72,Poland,201412,2133,Estonia
76,World,201501,7889,Estonia
77,France,201501,275,Estonia
78,Ireland,201501,1237,Estonia
79,Italy,201501,1521,Estonia
80,Lithuania,201501,2561,Estonia
81,Netherlands,201501,1860,Estonia
82,Poland,201501,434,Estonia
83,World,201502,2484,Estonia
84,France,201502,254,Estonia
85,Ireland,201502,529,Estonia
86,Lithuania,201502,1018,Estonia
87,Poland,201502,684,Estonia
90,World,201503,5070,Estonia
91,France,201503,162,Estonia
92,Ireland,201503,852,Estonia
93,Italy,201503,1648,Estonia
94,Lithuania,201503,1553,Estonia
95,Poland,201503,855,Estonia
96,World,201504,5216,Estonia
97,France,201504,136,Estonia
98,Ireland,201504,2695,Estonia
99,Lithuania,201504,1445,Estonia
100,Poland,201504,940,Estonia
103,World,201505,4827,Estonia
104,France,201505,71,Estonia
105,Ireland,201505,978,Estonia
106,Lithuania,201505,3777,Estonia
109,World,201506,5950,Estonia
110,France,201506,84,Estonia
111,Ireland,201506,722,Estonia
112,Lithuania,201506,5144,Estonia
115,World,201507,4911,Estonia
116,France,201507,1339,Estonia
117,Ireland,201507,1308,Estonia
118,Lithuania,201507,2035,Estonia
119,Poland,201507,229,Estonia
122,World,201508,4343,Estonia
123,France,201508,1851,Estonia
124,Ireland,201508,1498,Estonia
125,Lithuania,201508,874,Estonia
126,Poland,201508,120,Estonia
129,World,201509,245795,Estonia
130,France,201509,462,Estonia
131,Ireland,201509,461,Estonia
132,Italy,201509,179349,Estonia
133,Lithuania,201509,4555,Estonia
134,Netherlands,201509,54628,Estonia
135,Poland,201509,453,Estonia
136,Turkey,201509,5888,Estonia
139,World,201510,224837,Estonia
140,France,201510,5666,Estonia
141,Ireland,201510,1198,Estonia
142,Italy,201510,217191,Estonia
143,Poland,201510,782,Estonia
146,World,201511,464713,Estonia
147,France,201511,2413,Estonia
148,Ireland,201511,774,Estonia
149,Italy,201511,456217,Estonia
150,Lithuania,201511,3243,Estonia
151,Netherlands,201511,291,Estonia
152,Poland,201511,1775,Estonia
155,World,201512,26496,Estonia
156,France,201512,3935,Estonia
157,Germany,201512,15990,Estonia
158,Ireland,201512,2634,Estonia
159,Lithuania,201512,1625,Estonia
160,Netherlands,201512,1121,Estonia
161,Poland,201512,1192,Estonia
162,World,201601,13681,Estonia
163,France,201601,236,Estonia
164,Ireland,201601,426,Estonia
165,Lithuania,201601,1947,Estonia
166,Poland,201601,128,Estonia
167,Turkey,201601,10943,Estonia
170,World,201602,5122,Estonia
171,France,201602,267,Estonia
172,Ireland,201602,479,Estonia
173,Italy,201602,842,Estonia
174,Lithuania,201602,2938,Estonia
175,Poland,201602,596,Estonia
176,World,201603,6607,Estonia
177,France,201603,817,Estonia
178,Ireland,201603,2423,Estonia
179,Italy,201603,1842,Estonia
180,Lithuania,201603,1162,Estonia
181,Poland,201603,363,Estonia
184,World,201604,4302,Estonia
185,France,201604,66,Estonia
186,Ireland,201604,1796,Estonia
187,Lithuania,201604,1982,Estonia
188,Poland,201604,458,Estonia
191,World,201605,3635,Estonia
192,France,201605,64,Estonia
193,Italy,201605,1945,Estonia
194,Lithuania,201605,1627,Estonia
197,World,201606,20836,Estonia
198,Hungary,201606,6997,Estonia
199,Ireland,201606,2520,Estonia
200,Italy,201606,4573,Estonia
201,Lithuania,201606,2940,Estonia
202,Poland,201606,3807,Estonia
203,World,201607,13774,Estonia
204,France,201607,401,Estonia
205,Hungary,201607,8332,Estonia
206,Ireland,201607,1014,Estonia
207,Italy,201607,1937,Estonia
208,Lithuania,201607,1774,Estonia
209,Poland,201607,316,Estonia
210,World,201608,17788,Estonia
211,France,201608,1161,Estonia
212,Hungary,201608,6820,Estonia
213,Ireland,201608,976,Estonia
214,Italy,201608,348,Estonia
215,Netherlands,201608,7995,Estonia
216,Poland,201608,488,Estonia
219,World,201609,230628,Estonia
220,France,201609,121,Estonia
221,Ireland,201609,1133,Estonia
222,Italy,201609,228270,Estonia
223,Lithuania,201609,1076,Estonia
224,Poland,201609,28,Estonia
228,World,201610,83506,Estonia
229,Hungary,201610,2749,Estonia
230,Ireland,201610,516,Estonia
231,Italy,201610,77012,Estonia
232,Lithuania,201610,2496,Estonia
233,Poland,201610,733,Estonia
234,World,201611,157482,Estonia
235,France,201611,9528,Estonia
236,Hungary,201611,758,Estonia
237,Italy,201611,143292,Estonia
238,Lithuania,201611,1897,Estonia
239,Netherlands,201611,720,Estonia
240,Poland,201611,1287,Estonia
241,World,201612,29754,Estonia
242,France,201612,9058,Estonia
243,Hungary,201612,1081,Estonia
244,Italy,201612,16278,Estonia
245,Lithuania,201612,1818,Estonia
246,Netherlands,201612,851,Estonia
247,Poland,201612,668,Estonia
0,World,201401,5624,Finland
1,France,201401,84,Finland
2,Ireland,201401,987,Finland
3,Italy,201401,1308,Finland
4,Lithuania,201401,2773,Finland
5,Poland,201401,473,Finland
6,World,201402,9564,Finland
7,Ireland,201402,1636,Finland
8,Italy,201402,2966,Finland
9,Lithuania,201402,3450,Finland
10,Poland,201402,1512,Finland
11,World,201403,4987,Finland
12,Lithuania,201403,4187,Finland
13,Poland,201403,800,Finland
14,World,201404,10823,Finland
15,France,201404,90,Finland
16,Ireland,201404,370,Finland
17,Italy,201404,1898,Finland
18,Lithuania,201404,3862,Finland
19,Turkey,201404,4603,Finland
20,World,201405,5773,Finland
21,Ireland,201405,817,Finland
22,Lithuania,201405,3785,Finland
23,Poland,201405,1171,Finland
24,World,201406,4449,Finland
25,France,201406,90,Finland
26,Ireland,201406,810,Finland
27,Italy,201406,1993,Finland
28,Poland,201406,1557,Finland
29,World,201407,4758,Finland
30,France,201407,1262,Finland
31,Ireland,201407,399,Finland
32,Lithuania,201407,2385,Finland
33,Poland,201407,712,Finland
34,World,201408,37410,Finland
35,France,201408,1861,Finland
36,Ireland,201408,1191,Finland
37,Italy,201408,1336,Finland
38,Lithuania,201408,3275,Finland
39,Netherlands,201408,29014,Finland
40,Poland,201408,733,Finland
44,World,201409,182326,Finland
45,France,201409,231,Finland
46,Ireland,201409,986,Finland
47,Italy,201409,147778,Finland
48,Lithuania,201409,2493,Finland
49,Netherlands,201409,29172,Finland
50,Poland,201409,1665,Finland
53,World,201410,197811,Finland
54,France,201410,374,Finland
55,Italy,201410,193005,Finland
56,Lithuania,201410,3114,Finland
57,Netherlands,201410,80,Finland
58,Poland,201410,1237,Finland
61,World,201411,233107,Finland
62,France,201411,7060,Finland
63,Ireland,201411,1541,Finland
64,Italy,201411,209724,Finland
65,Lithuania,201411,3304,Finland
66,Netherlands,201411,9947,Finland
67,Poland,201411,1532,Finland
68,World,201412,9586,Finland
69,France,201412,4786,Finland
70,Ireland,201412,997,Finland
71,Netherlands,201412,1671,Finland
72,Poland,201412,2133,Finland
76,World,201501,7889,Finland
77,France,201501,275,Finland
78,Ireland,201501,1237,Finland
79,Italy,201501,1521,Finland
80,Lithuania,201501,2561,Finland
81,Netherlands,201501,1860,Finland
82,Poland,201501,434,Finland
83,World,201502,2484,Finland
84,France,201502,254,Finland
85,Ireland,201502,529,Finland
86,Lithuania,201502,1018,Finland
87,Poland,201502,684,Finland
90,World,201503,5070,Finland
91,France,201503,162,Finland
92,Ireland,201503,852,Finland
93,Italy,201503,1648,Finland
94,Lithuania,201503,1553,Finland
95,Poland,201503,855,Finland
96,World,201504,5216,Finland
97,France,201504,136,Finland
98,Ireland,201504,2695,Finland
99,Lithuania,201504,1445,Finland
100,Poland,201504,940,Finland
103,World,201505,4827,Finland
104,France,201505,71,Finland
105,Ireland,201505,978,Finland
106,Lithuania,201505,3777,Finland
109,World,201506,5950,Finland
110,France,201506,84,Finland
111,Ireland,201506,722,Finland
112,Lithuania,201506,5144,Finland
115,World,201507,4911,Finland
116,France,201507,1339,Finland
117,Ireland,201507,1308,Finland
118,Lithuania,201507,2035,Finland
119,Poland,201507,229,Finland
122,World,201508,4343,Finland
123,France,201508,1851,Finland
124,Ireland,201508,1498,Finland
125,Lithuania,201508,874,Finland
126,Poland,201508,120,Finland
129,World,201509,245795,Finland
130,France,201509,462,Finland
131,Ireland,201509,461,Finland
132,Italy,201509,179349,Finland
133,Lithuania,201509,4555,Finland
134,Netherlands,201509,54628,Finland
135,Poland,201509,453,Finland
136,Turkey,201509,5888,Finland
139,World,201510,224837,Finland
140,France,201510,5666,Finland
141,Ireland,201510,1198,Finland
142,Italy,201510,217191,Finland
143,Poland,201510,782,Finland
146,World,201511,464713,Finland
147,France,201511,2413,Finland
148,Ireland,201511,774,Finland
149,Italy,201511,456217,Finland
150,Lithuania,201511,3243,Finland
151,Netherlands,201511,291,Finland
152,Poland,201511,1775,Finland
155,World,201512,26496,Finland
156,France,201512,3935,Finland
157,Germany,201512,15990,Finland
158,Ireland,201512,2634,Finland
159,Lithuania,201512,1625,Finland
160,Netherlands,201512,1121,Finland
161,Poland,201512,1192,Finland
162,World,201601,13681,Finland
163,France,201601,236,Finland
164,Ireland,201601,426,Finland
165,Lithuania,201601,1947,Finland
166,Poland,201601,128,Finland
167,Turkey,201601,10943,Finland
170,World,201602,5122,Finland
171,France,201602,267,Finland
172,Ireland,201602,479,Finland
173,Italy,201602,842,Finland
174,Lithuania,201602,2938,Finland
175,Poland,201602,596,Finland
176,World,201603,6607,Finland
177,France,201603,817,Finland
178,Ireland,201603,2423,Finland
179,Italy,201603,1842,Finland
180,Lithuania,201603,1162,Finland
181,Poland,201603,363,Finland
184,World,201604,4302,Finland
185,France,201604,66,Finland
186,Ireland,201604,1796,Finland
187,Lithuania,201604,1982,Finland
188,Poland,201604,458,Finland
191,World,201605,3635,Finland
192,France,201605,64,Finland
193,Italy,201605,1945,Finland
194,Lithuania,201605,1627,Finland
197,World,201606,20836,Finland
198,Hungary,201606,6997,Finland
199,Ireland,201606,2520,Finland
200,Italy,201606,4573,Finland
201,Lithuania,201606,2940,Finland
202,Poland,201606,3807,Finland
203,World,201607,13774,Finland
204,France,201607,401,Finland
205,Hungary,201607,8332,Finland
206,Ireland,201607,1014,Finland
207,Italy,201607,1937,Finland
208,Lithuania,201607,1774,Finland
209,Poland,201607,316,Finland
210,World,201608,17788,Finland
211,France,201608,1161,Finland
212,Hungary,201608,6820,Finland
213,Ireland,201608,976,Finland
214,Italy,201608,348,Finland
215,Netherlands,201608,7995,Finland
216,Poland,201608,488,Finland
219,World,201609,230628,Finland
220,France,201609,121,Finland
221,Ireland,201609,1133,Finland
222,Italy,201609,228270,Finland
223,Lithuania,201609,1076,Finland
224,Poland,201609,28,Finland
228,World,201610,83506,Finland
229,Hungary,201610,2749,Finland
230,Ireland,201610,516,Finland
231,Italy,201610,77012,Finland
232,Lithuania,201610,2496,Finland
233,Poland,201610,733,Finland
234,World,201611,157482,Finland
235,France,201611,9528,Finland
236,Hungary,201611,758,Finland
237,Italy,201611,143292,Finland
238,Lithuania,201611,1897,Finland
239,Netherlands,201611,720,Finland
240,Poland,201611,1287,Finland
241,World,201612,29754,Finland
242,France,201612,9058,Finland
243,Hungary,201612,1081,Finland
244,Italy,201612,16278,Finland
245,Lithuania,201612,1818,Finland
246,Netherlands,201612,851,Finland
247,Poland,201612,668,Finland
0,World,201401,5624,Greece
1,France,201401,84,Greece
2,Ireland,201401,987,Greece
3,Italy,201401,1308,Greece
4,Lithuania,201401,2773,Greece
5,Poland,201401,473,Greece
6,World,201402,9564,Greece
7,Ireland,201402,1636,Greece
8,Italy,201402,2966,Greece
9,Lithuania,201402,3450,Greece
10,Poland,201402,1512,Greece
11,World,201403,4987,Greece
12,Lithuania,201403,4187,Greece
13,Poland,201403,800,Greece
14,World,201404,10823,Greece
15,France,201404,90,Greece
16,Ireland,201404,370,Greece
17,Italy,201404,1898,Greece
18,Lithuania,201404,3862,Greece
19,Turkey,201404,4603,Greece
20,World,201405,5773,Greece
21,Ireland,201405,817,Greece
22,Lithuania,201405,3785,Greece
23,Poland,201405,1171,Greece
24,World,201406,4449,Greece
25,France,201406,90,Greece
26,Ireland,201406,810,Greece
27,Italy,201406,1993,Greece
28,Poland,201406,1557,Greece
29,World,201407,4758,Greece
30,France,201407,1262,Greece
31,Ireland,201407,399,Greece
32,Lithuania,201407,2385,Greece
33,Poland,201407,712,Greece
34,World,201408,37410,Greece
35,France,201408,1861,Greece
36,Ireland,201408,1191,Greece
37,Italy,201408,1336,Greece
38,Lithuania,201408,3275,Greece
39,Netherlands,201408,29014,Greece
40,Poland,201408,733,Greece
44,World,201409,182326,Greece
45,France,201409,231,Greece
46,Ireland,201409,986,Greece
47,Italy,201409,147778,Greece
48,Lithuania,201409,2493,Greece
49,Netherlands,201409,29172,Greece
50,Poland,201409,1665,Greece
53,World,201410,197811,Greece
54,France,201410,374,Greece
55,Italy,201410,193005,Greece
56,Lithuania,201410,3114,Greece
57,Netherlands,201410,80,Greece
58,Poland,201410,1237,Greece
61,World,201411,233107,Greece
62,France,201411,7060,Greece
63,Ireland,201411,1541,Greece
64,Italy,201411,209724,Greece
65,Lithuania,201411,3304,Greece
66,Netherlands,201411,9947,Greece
67,Poland,201411,1532,Greece
68,World,201412,9586,Greece
69,France,201412,4786,Greece
70,Ireland,201412,997,Greece
71,Netherlands,201412,1671,Greece
72,Poland,201412,2133,Greece
76,World,201501,7889,Greece
77,France,201501,275,Greece
78,Ireland,201501,1237,Greece
79,Italy,201501,1521,Greece
80,Lithuania,201501,2561,Greece
81,Netherlands,201501,1860,Greece
82,Poland,201501,434,Greece
83,World,201502,2484,Greece
84,France,201502,254,Greece
85,Ireland,201502,529,Greece
86,Lithuania,201502,1018,Greece
87,Poland,201502,684,Greece
90,World,201503,5070,Greece
91,France,201503,162,Greece
92,Ireland,201503,852,Greece
93,Italy,201503,1648,Greece
94,Lithuania,201503,1553,Greece
95,Poland,201503,855,Greece
96,World,201504,5216,Greece
97,France,201504,136,Greece
98,Ireland,201504,2695,Greece
99,Lithuania,201504,1445,Greece
100,Poland,201504,940,Greece
103,World,201505,4827,Greece
