"","commoditycode","parent","description"
"3624","22042962","220429","SICILIA (SICILY). WHITE WINE NE 13% VOL IN CTRS EXD 2 LTRS"
"3625","22042964","220429","VENETO. WHITE WINE NE 13% VOL IN CTRS EXD 2 LTRS"
"3626","22042965","220429","OTHER WHITE WINE NE 13% VOL IN CTRS EXD 2 LTRS NOT ELSEWHERESPECIFIED"
"3627","22042971","220429","PUGLIA (APUGLIA)  RED & ROSE WINE NE 13% VOL IN CTRS EXD 2LTRS"
"3628","22042972","220429","SICILIA (SICILY)  RED & ROSE WINE NE 13% VOL IN CTRS EXD 2LTRS"
"3629","22042975","220429","OTHER RED & ROSE WINE NE 13% VOL IN CTRS EXD 2 LTRS NOTELSEWHERE SPECIFIED"
"3630","22042977","220429","WHITE WINE EX 13% BUT NOT 15% ABV QUALITY WINES PRODUCED INSPECIFIED REGIONS -TOKAY"
"3631","22042978","220429","Wines produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <= 15% vol, with PDO (other than Bordeaux, Bourgogne, Beaujolais, Vallée du Rhône, Languedoc-Roussillon, Val de Loire, Piemonte, sparkling wine, semi-sparkling wine and white wine)"
"3632","22042979","220429","White wine of fresh grapes, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <= 15% vol, with PGI (other than sparkling wine and semi-sparkling wine)"
"3633","22042980","220429","Wines of fresh grapes, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <= 15% vol, with PGI (other than sparkling wine, semi-sparkling wine and white wine)"
"3634","22042981","220429","Varietal white wines without PDO and PGI, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine and semi-sparkling wine)"
"3635","22042982","220429","Varietal wines without PDO and PGI, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine and white wine)"
"3636","22042983","220429","White wines produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine and varietal wines)"
"3637","22042984","220429","Wines produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine, white wine and varietal wines)"
"3638","22042985","220429","Madeira and Setubal muscatel, in containers holding > 10 l and of an actual alcoholic strength of > 15% vol, with PDO or PGI"
"3639","22042986","220429","Sherry, in containers holding > 10 l and of an actual alcoholic strength of  > 15% vol, with PDO or PGI"
"3640","22042987","220429","Marsala, in containers holding > 2 l and of an actual alcoholic strength of > 15% vol to 22% vol, with PDO..."
"3641","22042988","220429","Samos and Muscat de Lemnos, in containers holding > 10 l and of an actual alcoholic strength of > 15% vol, with PDO or PGI"
"3642","22042989","220429","Port, in containers holding > 2 l and of an actual alcoholic strength of > 15% vol to 22% vol, with PDO or..."
"3643","22042990","220429","Wines produced in EU, in containers holding > 10 l and of an actual alcoholic strength of  > 15% vol, with PDO or PGI (other than Madeira, Sherry, Samos, Muscat de Lemnos and Setubal muscatel)"
"3644","22042991","220429","Wines without PDO and PGI, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of > 15% vol"
"3645","22042992","220429","Wine of fresh grapes, incl. fortified wine, produced in EU, in containers holding > 2 l and of an actual a..."
"3646","22042993","220429","White wines not produced in EU, in containers holding > 10 l, with PDO or PGI (other than sparkling wine and semi-sparkling wine)"
"3647","22042994","220429","Wines not produced in EU, in containers holding > 10 l, with PDO or PGI (other than sparkling wine, semi-sparkling wine and white wine)"
"3648","22042995","220429","Varietal white wines without PDO and PGI, not produced in EU, in containers holding > 10 l (other than sparkling wine and semi-sparkling wine)"
"3649","22042996","220429","Varietal wines without PDO and PGI, not produced in EU, in containers holding > 10 l (other than sparkling wine, semi-sparkling wine and white wine)"
"3650","22042997","220429","White wines not produced in EU, in containers holding > 10 l (other than sparkling wine, semi-sparkling wine and varietal wines)"
"3651","22042998","220429","Wines not produced in EU, in containers holding > 10 l (other than sparkling wine, semi-sparkling wine, white wine and varietal wines)"
"3652","22042999","220429","WINE EXD 22% VOL IN CTRS EXD 2 LTRS"
"3653","220430","2204","Grape must, of an actual alcoholic strength of > 0,5% vol (excl. grape must whose fermentation has been arrested by the addition of alcohol)"
"3654","22043010","220430","Grape must, arrested otherwise than by addition of alcohol, of an actual alcoholic strength of > 1% vol (excl. grape must whose fermentation has been arrested by the addition of alcohol)"
"3655","22043092","220430","Grape must, unfermented, concentrated within the meaning of Additional Note 7 to chapter 22, of a density <= 1,33 g/cm³ at 20°C and of an actual alcoholic strength <= 1% vol but > 0,5% vol (excl. grape must whose fermentation has been arrested by the addition of alcohol)"
"3656","2504","25","Natural graphite"
"3657","25041000","2504","Natural graphite in powder or in flakes"
"3658","22043094","220430","Grape must, unfermented, non-concentrated, of a density <= 1,33 g/cm³ at 20°C and of an actual alcoholic strength <= 1% vol but > 0,5% vol (excl. grape must whose fermentation has been arrested by the addition of alcohol)"
"3659","22043096","220430","Grape must, unfermented, concentrated within the meaning of Additional Note 7 to chapter 22, of a density > 1,33 g/cm³ at 20°C and of an actual alcoholic strength <= 1% vol but > 0,5% vol (excl. grape must whose fermentation has been arrested by the addition of alcohol)"
"3660","22043098","220430","Grape must, unfermented, non-concentrated, of a density > 1,33 g/cm³ at 20°C and of an actual alcoholic strength <= 1% vol but > 0,5% vol (excl. grape must whose fermentation has been arrested by the addition of alcohol)"
"3661","2205","22","Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances"
"3662","220510","2205","Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers of <= 2 l"
"3663","22051010","220510","Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding <= 2 l, of actual alcoholic strength of <= 18% vol"
"3664","22051090","220510","Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding <= 2 l, of actual alcoholic strength of > 18% vol"
"3665","220590","2205","Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers of > 2 l"
"3666","22059010","220590","Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding > 2 l, of actual alcoholic strength of <= 18% vol"
"3667","22059090","220590","Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding > 2 l, of actual alcoholic strength of > 18% vol"
"3668","220600","22","Cider, perry, mead, saké and other fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, n.e.s. (excl. beer, wine or fresh grapes, grape must, vermouth and other wine of fresh grapes flavoured with plants or aromatic substances)"
"3669","22060010","220600","Piquette, obtained by grape marc"
"3670","22060031","220600","Cider and perry, sparkling"
"3671","22060039","220600","Mead and other fermented beverages and mixtures of fermented beverages and mixtures of fermented beverages with non-alcoholic beverages, sparkling, n.e.s."
"3672","22060051","220600","Cider and perry, not sparkling, in containers holding <= 2 l"
"3673","22060059","220600","Mead and other fermented beverages and mixtures of fermented beverages and mixtures of fermented beverages with non-alcoholic beverages, not sparkling, in containers holding <= 2 l, n.e.s. (excl. wine of fresh grapes, grape must, vermouth and other wine of fresh grapes, with plants or aromatic substances, piquette, cider and perry)"
"3674","22060081","220600","Cider and perry, not sparkling, in containers holding > 2 l"
"3675","22060089","220600","Mead and other fermented beverages and mixtures of fermented beverages and mixtures of fermented beverages with non-alcoholic beverages, not sparkling, in containers holding > 2 l, n.e.s. (excl. wine of fresh grapes, grape must, vermouth and other wine of fresh grapes, with plants or aromatic substances, piquette, cider and perry)"
"3676","2207","22","Undenatured ethyl alcohol of an alcoholic strength of >= 80%; ethyl alcohol and other spirits, denatured, of any strength"
"3677","22071000","2207","Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%"
"3678","22072000","2207","Denatured ethyl alcohol and other spirits of any strength"
"3679","2208","22","Undenatured ethyl alcohol of an alcoholic strength of < 80%; spirits, liqueurs and other spirituous beverages (excl. compound alcoholic preparations of a kind used for the manufacture of beverages)"
"3680","220820","2208","Spirits obtained by distilling grape wine or grape marc"
"3681","22082012","220820","Cognac, in containers holding <= 2 l"
"3682","22082014","220820","Armagnac, in containers holding <= 2 l"
"3683","22082026","220820","Grappa, in containers holding <= 2 l"
"3684","22082027","220820","Brandy de Jerez in containers holding <= 2 l"
"3685","22082029","220820","Spirits obtained by distilling grape wine or grape marc, in containers holding <= 2 l (excl. Cognac, Armagnac, Grappa and Brandy de Jerez)"
"3686","22082040","220820","Raw distillate, in containers holding > 2 l"
"3687","22082062","220820","Cognac, in containers holding > 2 l"
"3688","22082064","220820","Armagnac, in containers holding > 2 l"
"3689","22082086","220820","Grappa, in containers holding > 2 l"
"3690","22082087","220820","Brandy de Jerez in containers holding > 2 l"
"3691","22082089","220820","Spirits obtained by distilling grape wine or grape marc, in containers holding > 2 l (excl. raw distillate, Cognac, Armagnac, Grappa and Brandy de Jerez)"
"3692","220830","2208","Whiskies"
"3693","22083011","220830","Bourbon whiskey, in containers holding <= 2 l"
"3694","22083019","220830","Bourbon whiskey, in containers holding > 2 l"
"3695","22083030","220830","Single malt Scotch whisky"
"3696","22083032","220830","SCOTCH WHISKY: PURE MALT WHISKY IN CTRS NE 2 LTRS"
"3697","22083038","220830","SCOTCH WHISKY: PURE MALT WHISKY IN CTRS EXD 2 LTRS"
"3698","22083041","220830","Blended malt Scotch whisky, in containers holding <= 2 l"
"3699","22083049","220830","Blended malt Scotch whisky, in containers holding > 2 l"
"3700","22083052","220830","SCOTCH WHISKY: BLENDED WHISKY IN CTRS NE 2 LTRS"
"3701","22083058","220830","SCOTCH WHISKY: BLENDED WHISKY IN CTRS EXD 2 LTRS"
"3702","22083061","220830","Single grain and blended grain Scotch whisky, in containers holding <= 2 l"
"3703","22083069","220830","Single grain and blended grain Scotch whisky, in containers holding > 2 l"
"3704","22083071","220830","Scotch whisky, in containers holding <= 2 l (other than single malt, blended malt, single grain and blended grain whisky)"
"3705","22083072","220830","SCOTCH WHISKY: OTHER WHISKIES IN CTRS NE 2 LTRS"
"3706","22083078","220830","SCOTCH WHISKY: OTHER WHISKIES IN CTRS EXD 2 LTRS"
"3707","22083079","220830","Scotch whisky, in containers holding > 2 l (other than single malt, blended malt, single grain and blended grain whisky)"
"3708","22083082","220830","Whisky, in containers holding <= 2 l (other than Bourbon whiskey and Scotch whisky)"
"3709","22083088","220830","Whisky, in containers holding > 2 l (other than Bourbon whiskey and Scotch whisky)"
"3710","220840","2208","Rum and other spirits obtained by distilling fermented sugar-cane products"
"3711","22084011","220840","Rum with a content of volatile substances (other than ethyl and methyl alcohol) of >= 225 g/hl of pure alcohol ""with a 10% tolerance"", in containers holding <= 2 l"
"3712","25049000","2504","Natural graphite (excl. in powder or in flakes)"
"3713","22084031","220840","Rum and other spirits obtained by distilling fermented sugar-cane products, of a value > 7,9 €/l of pure alcohol, in containers holding <= 2 l (excl. rum with a content of volatile substances [other than ethyl and methyl alcohol] of >= 225 g/hl of pure alcohol ""with a 10% tolerance"")"
"3714","22084039","220840","Rum and other spirits obtained by distilling fermented sugar-cane products, of a value <= 7,9 €/l of pure alcohol, in containers holding <= 2 l (excl. rum with a content of volatile substances [other than ethyl and methyl alcohol] of >= 225 g/hl of pure alcohol ""with a 10% tolerance"")"
"3715","22084051","220840","Rum with a content of volatile substances (other than ethyl and methyl alcohol) of >= 225 g/hl of pure alcohol ""with a 10% tolerance"", in containers holding > 2 l"
"3716","22084091","220840","Rum and other spirits obtained by distilling fermented sugar-cane products, of a value > 2 €/l of pure alcohol, in containers holding > 2 l (excl. rum with a content of volatile substances [other than ethyl and methyl alcohol] of >= 225 g/hl of pure alcohol ""with a 10% tolerance"")"
"3717","22084099","220840","Rum and other spirits obtained by distilling fermented sugar-cane products, of a value <= 2 €/l of pure alcohol, in containers holding > 2 l (excl. rum with a content of volatile substances [other than ethyl and methyl alcohol] of >= 225 g/hl of pure alcohol ""with a 10% tolerance"")"
"3718","220850","2208","Gin and Geneva"
"3719","22085011","220850","Gin, in containers holding <= 2 l"
"3720","22085019","220850","Gin, in containers holding > 2 l"
"3721","22085091","220850","Geneva, in containers holding <= 2 l"
"3722","22085099","220850","Geneva, in containers holding > 2 l"
"3723","220860","2208","Vodka"
"3724","22086011","220860","Vodka of an alcoholic strength of <= 45,4% vol, in containers holding <= 2 l"
"3725","22086019","220860","Vodka of an alcoholic strength of <= 45,4% vol, in containers holding > 2 l"
"3726","22086091","220860","Vodka of an alcoholic strength of > 45,4% vol, in containers holding <= 2 l"
"3727","22086099","220860","Vodka of an alcoholic strength of > 45,4% vol, in containers holding > 2 l"
"3728","220870","2208","Liqueurs and cordials"
"3729","22087010","220870","Liqueurs and cordials, in containers holding <= 2 l"
"3730","22087090","220870","Liqueurs and cordials, in containers holding > 2 l"
"3731","220890","2208","Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous beverages (excl. compound alcoholic preparations of a kind used for the manufacture of beverages, spirits obtained by distilling grape wine or grape marc, whiskies, rum and other spirits obtained by distilling fermented sugar-cane products, gin, geneva, vodka, liqueurs and cordials)"
"3732","22089011","220890","Arrack, in containers holding <= 2 l"
"3733","22089019","220890","Arrack, in containers holding > 2 l"
"3734","22089033","220890","Plum, pear or cherry spirit, in containers holding <= 2 l"
"3735","22089038","220890","Plum, pear or cherry spirit, in containers holding > 2 l"
"3736","22089041","220890","Ouzo, in containers holding <= 2 l"
"3737","22089045","220890","Calvados, in containers holding <= 2 l"
"3738","22089048","220890","Spirits distilled from fruit, in containers holding <= 2 l (excl. plum, pear or cherry spirit and Calvados)"
"3739","22089052","220890","Korn, in containers holding <= 2 l"
"3740","22089054","220890","Tequila in containers holding <= 2 l"
"3741","22089056","220890","Spirits in containers holding <= 2 l (excl. spirits distilled from grape wine or grape marc, whisky, rum and other spirits obtained by distilling fermented sugar-cane products, gin, geneva, arrack, vodka, liqueurs and cordials, ouzo, spirits distilled from fruit, and tequila)"
"3742","22089069","220890","Spirituous beverages, in containers holding <= 2 l (excl. ouzo, spirits, liqueurs and cordials)"
"3743","22089071","220890","Spirits distilled from fruit, in containers holding > 2 l (excl. spirits distilled from grape wine or grape marc, plum, pear or cherry)"
"3744","22089075","220890","Tequila in containers holding > 2 l"
"3745","22089077","220890","Spirits in containers holding > 2 l (excl. spirits obtained by distilling grape wine or grape marc, whiskies, rum and other spirits obtained by distilling fermented sugar-cane products, gin, geneva, arrack, vodka, liqueurs and cordials, ouzo, spirits distilled from fruit and tequila)"
"3746","22089078","220890","Spirituous beverages, in containers holding > 2 l (excl. spirits, liqueurs and cordials and ouzo)"
"3747","22089091","220890","Undenatured ethyl alcohol, of an alcoholic strength of < 80% vol, in containers holding <= 2 l"
"3748","22089099","220890","Undenatured ethyl alcohol, of an alcoholic strength of < 80% vol, in containers holding > 2 l"
"3749","220900","22","Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid"
"3750","22090011","220900","Wine vinegar, in containers holding <= 2 l"
"3751","22090019","220900","Wine vinegar, in containers holding > 2 l"
"3752","22090091","220900","Vinegar and substitutes for vinegar obtained from acetic acid, in containers holding <= 2 l (excl. wine vinegar)"
"3753","22090099","220900","Vinegar and substitutes for vinegar obtained from acetic acid, in containers holding > 2 l (excl. wine vinegar)"
"3754","23","IV","RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER"
"3755","2301","23","Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves"
"3756","23011000","2301","Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves"
"3757","23012000","2301","Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption"
"3758","2302","23","Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants"
"3759","230210","2302","Bran, sharps and other residues of maize ""corn"", whether or not in the form of pellets, derived from sifting, milling or other working"
"3760","23021010","230210","Bran, sharps and other residues of maize, whether or not in the form of pellets, derived from sifting, milling or other working, with starch content of <= 35%"
"3761","23021090","230210","Bran, sharps and other residues of maize, whether or not in the form of pellets, derived from sifting, milling or other working, with starch content of > 35%"
"3762","230230","2302","Bran, sharps and other residues of wheat, whether or not in the form of pellets, derived from sifting, milling or other working"
"3763","23080011","230800","Grape marc, of a kind used in animal feeding, whether or not in the form of pellets, having a total alcoholic strength of <= 4,3% mas and a dry matter content of >= 40% by weight"
"3764","26040000","26","Nickel ores and concentrates"
"3765","26050000","26","Cobalt ores and concentrates"
"3766","23023010","230230","Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of wheat, with a starch content of <= 28% by weight, and of which the proportion that passes through a sieve with an aperture of 0,2 mm is <= 10% by weight or alternatively the proportion that passes through the sieve has an ash content, calculated on the dry product, of >= 1,5% by weight"
"3767","23023090","230230","Bran, sharps and other residues of wheat, whether or not in the form of pellets, derived from sifting, milling or other working (excl. those with starch content of <= 28%, provided that either <= 10% passes through a sieve with an aperture of 0,2 mm or if > 10% passes through, the proportion that passes through the sieve has an ash content, calculated on the dry product, of >= 1,5% by weight)"
"3768","230240","2302","Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived from sifting, milling or other working (excl. maize and wheat)"
"3769","23024002","230240","Bran, sharps and other residues of rice, whether or not in the form of pellets, derived from sifting, milling or other working, with starch content of <= 35%"
"3770","23024008","230240","Bran, sharps and other residues of rice, whether or not in the form of pellets, derived from sifting, milling or other working, with starch content of > 35%"
"3771","23024010","230240","Bran, sharps and other residues, in the form of pellets or not, derived from the sifting, milling or other working of cereals, with a starch content <= 28% by weight, and of which <= 10% by weight passes through a sieve with an aperture of 0,2 mm or, if > 10% passes through, the proportion that passes through the sieve has an ash content, calculated on the dry product, of >= 1,5% by weight (excl. bran, sharps and other residues of maize, rice or wheat)"
"3772","23024090","230240","Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived from sifting, milling or other working (excl. those of maize, rice and wheat and those with a starch content of <= 28%, provided that either <=10% passes through a sieve with an aperture of 0,2 mm or, if > 10% passes through, the proportion that passes through has an ash content of >= 1,5%)"
"3773","23025000","2302","Bran, sharps and other residues of leguminous plants, whether or not in the form of pellets, derived from sifting, milling or other working"
"3774","2303","23","Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets"
"3775","230310","2303","Residues of starch manufacture and similar residues"
"3776","23031011","230310","Residues from the manufacture of starch from maize, of a protein content, calculated on the dry product, of > 40% by weight (excl. concentrated steeping liquors)"
"3777","23031019","230310","Residues from the manufacture of starch from maize, of a protein content, calculated on the dry product, of <= 40% by weight (excl. concentrated steeping liquors)"
"3778","23031090","230310","Residues of starch manufacture and similar residues, incl. concentrated steeping liquors (excl. of starch from maize)"
"3779","230320","2303","Beet-pulp, bagasse and other waste of sugar manufacture"
"3780","23032010","230320","Beet-pulp"
"3781","23032090","230320","Bagasse and other waste of sugar manufacture (excl. beet pulp)"
"3782","23033000","2303","Brewing or distilling dregs and waste"
"3783","23040000","23","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
"3784","23050000","23","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
"3785","2306","23","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils (excl. from soya-bean oil and groundnut oil)"
"3786","23061000","2306","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of cotton seeds"
"3787","23062000","2306","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of linseed"
"3788","23063000","2306","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of sunflower seeds"
"3789","23064100","2306","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of low erucic acid rape or colza seeds ""yielding a fixed oil which has an erucic acid content of < 2% and yielding a solid component of glucosinolates of < 30 micromoles/g"""
"3790","23064900","2306","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of high erucic acid rape or colza seeds ""yielding a fixed oil which has an erucic acid content of >= 2% and yielding a solid component of glucosinolates of >= 30 micromoles/g"""
"3791","23065000","2306","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of coconut or copra"
"3792","23066000","2306","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of palm nuts or kernels"
"3793","230690","2306","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils (excl. of cotton seeds, linseed, sunflower seeds, rape or colza seeds, coconut or copra, palm nuts or kernels, or from the extraction of soya-bean oil or groundnut oil)"
"3794","23069005","230690","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils from maize ""corn"" germ"
"3795","23069011","230690","Oilcake and other solid residues from the extraction of olive oil, whether or not ground or in the form of pellets, containing <= 3% olive oil"
"3796","23069019","230690","Oilcake and other solid residues from the extraction of olive oil, whether or not ground or in the form of pellets, containing > 3% olive oil"
"3797","23069090","230690","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils (excl. of cotton seeds, linseed, sunflower seeds, rape or colza seeds, coconut or copra, palm nuts or kernels, germ of maize, and from the extraction of olive, soya-bean and groundnut oil)"
"3798","230700","23","Wine lees; argol"
"3799","23070011","230700","Wine lees, having a total alcoholic strength of <= 7,9% mas and a dry matter content >= 25% by weight"
"3800","23070019","230700","Wine lees (excl. wine lees having a total alcoholic strength of <= 7,9% and a dry matter content of >= 25% by weight)"
"3801","23070090","230700","Argol"
"3802","230800","23","Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable residues and by-products of a kind used in animal feeding, whether or not in the form of pellets, n.e.s."
"3803","25020000","25","Unroasted iron pyrites"
"3804","23080019","230800","Grape marc, of a kind used in animal feeding, whether or not in the form of pellets (excl. grape marc having a total alcoholic strength of <= 4,3% mas and a dry matter content of >= 40% by weight)"
"3805","23080040","230800","Acorns and horse-chestnuts and pomace or marc of fruit, for animal feeding, whether or not in the form of pellets (excl. grape marc)"
"3806","23080090","230800","Maize stalks, maize leaves, fruit peel and other vegetable materials, waste, residues and by-products for animal feeding, whether or not in the form of pellets, n.e.s. (excl. acorns, horse-chestnuts and pomace or marc of fruit)"
"3807","2309","23","Preparations of a kind used in animal feeding"
"3808","230910","2309","Dog or cat food, put up for retail sale"
"3809","23091011","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing no starch or no milk products or containing <= 10% starch and < 10% by weight of milk products"
"3810","23091013","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing no starch or containing <= 10% starch and >= 10% but < 50% by weight of milk products"
"3811","23091015","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing no starch or containing <= 10% starch and >= 50% but < 75% by weight of milk products"
"3812","23091019","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing no starch or containing <= 10% starch and >= 75% by weight of milk products"
"3813","23091031","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 10% but <= 30% of starch and no milk products or < 10% by weight of milk products"
"3814","23091033","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 10% but <= 30% of starch and >= 10% but < 50% by weight of milk products"
"3815","23091039","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 10% but <= 30% of starch and >= 50% by weight of milk products"
"3816","23091051","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 30% of starch and no milk products or < 10% by weight of milk products"
"3817","23091053","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 30% of starch and >= 10% but < 50% by weight of milk products"
"3818","23091059","230910","Dog or cat food, put up for retail sale, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 30% of starch and >= 50% by weight of milk products"
"3819","23091070","230910","Dog or cat food put up for retail sale, containing no starch, glucose, maltodextrine or maltodextrine syrup, but containing milk products"
"3820","23091090","230910","Dog or cat food put up for retail sale, containing no starch, glucose, maltodextrine or maltodextrine syrup, nor milk products"
"3821","230990","2309","Preparations of a kind used in animal feeding (excl. dog or cat food put up for retail sale)"
"3822","23099010","230990","Fish or marine mammal solubles, to supplement feedingstuffs produced in the agricultural sector"
"3823","23099020","230990","Residues from the manufacture of starch from maize referred to in Additional Note 5 to chapter 23, of a kind used in animal feeding (excl. dog or cat food put up for retail sale)"
"3824","23099031","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing no starch or no milk products or containing <= 10% starch and < 10% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3825","23099033","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing no starch or containing <= 10% starch and >= 10% but < 50% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3826","23099035","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing no starch or containing <= 10% starch and >= 50% but < 75% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3827","23099039","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing no starch or containing <= 10% starch and >= 75% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3828","23099041","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 10% but <= 30% of starch and no milk products or < 10% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3829","23099043","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 10% but <= 30% of starch and >= 10% but < 50% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3830","23099049","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 10% but <= 30% of starch and >= 50% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3831","23099051","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 30% of starch and no milk products or < 10% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3832","23099053","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 30% of starch and >= 10% but < 50% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3833","23099059","230990","Preparations, incl. premixes, for animal food, containing glucose, glucose syrup, maltodextrine or maltodextrine syrup and containing > 30% of starch and >= 50% by weight of milk products (excl. dog or cat food put up for retail sale)"
"3834","23099070","230990","Preparations, incl. premixes, for animal food, containing no starch, glucose, maltodextrine or maltodextrine syrup, but containing milk products (excl. dog or cat food put up for retail sale)"
"3835","23099091","230990","Beef-pulp with added molasses of a kind used in animal feeding"
"3836","23099095","230990","Preparations of a kind used in animal feeding, containing by weight >=49% of choline chloride, on an organ..."
"3837","250300","25","Sulphur of all kinds (excl. sublimed sulphur, precipitated sulphur and colloidal sulphur)"
"3838","25030010","250300","Crude or unrefined sulphur (excl. sublimed sulphur, precipitated sulphur and colloidal sulphur)"
"3839","23099096","230990","Preparations of a kind used in animal feeding, containing no starch, glucose, glucose syrup, maltodextrine, maltodextrine syrup nor milk products (excl. dog or cat food put up for retail sale, fish or marine mammal solubles, residues from the manufacture of starch from maize referred to in Additional Note 5 to chapter 23, beet-pulp with added molasses, and premixes)"
"3840","23099099","230990","Preparations of a kind used in animal feeding, containing no starch, glucose, glucose syrup, maltodextrine..."
"3841","24","IV","TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
